0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.000 ,129.327,155.495,154.358,139.384,143.006,198.347,198.176,200.062,331.883,332.429,332.225,332.487,225.690,231.985,229.072,206.456,214.506,253.773,435.237,481.479,731.469,767.874,767.379,755.852,732.315,705.762,657.123,591.067,521.363,445.896,377.498,366.791,365.846,364.755,366.249,359.682,320.126,262.172,262.019,403.773,391.436,391.418,391.694,390.728,321.619,211.857,211.994,214.945,214.479,213.808,141.399,149.325,127.382,127.315,235.373,210.963,204.508,NaN,327.660,329.991,NaN,121.681
129.327,0.000 ,31.824,30.285,36.217,36.294,98.471,98.259,100.976,221.568,222.144,221.641,221.889,112.341,105.971,103.473,85.812,94.167,187.266,400.536,455.381,715.245,753.882,753.527,742.750,722.001,704.310,661.970,607.385,553.007,485.101,420.548,410.243,409.384,412.525,415.778,401.904,354.027,315.663,314.666,475.030,463.968,463.907,464.457,463.887,411.061,297.436,297.654,299.673,299.287,298.307,208.886,210.722,209.400,209.456,364.192,340.014,332.900,NaN,418.068,417.269,NaN,233.633
155.495,31.824,0.000 ,1.579 ,25.240,21.817,69.700,69.489,72.275,189.747,190.324,189.818,190.065,80.599,76.627,73.828,81.725,89.348,202.039,418.135,474.237,734.577,773.516,773.190,762.594,742.449,726.431,685.314,632.717,580.590,513.802,449.914,439.697,438.849,442.349,445.735,431.287,382.911,346.393,345.349,506.279,495.296,495.234,495.796,495.244,442.883,329.260,329.479,331.497,331.111,330.130,240.669,242.392,241.173,241.228,388.215,366.369,359.974,NaN,449.892,449.074,NaN,264.121
154.358,30.285,1.579 ,0.000 ,25.300,22.022,71.205,70.994,73.778,191.294,191.871,191.364,191.611,82.165,77.852,75.080,81.300,88.984,200.940,416.964,473.021,733.352,772.279,771.952,761.349,741.181,725.100,683.938,631.273,579.077,512.259,448.356,438.137,437.289,440.782,444.166,429.728,381.362,344.814,343.771,504.701,493.718,493.656,494.218,493.667,441.337,327.719,327.938,329.953,329.568,328.586,239.112,240.825,239.652,239.707,387.243,365.258,358.818,NaN,448.348,447.522,NaN,262.730
139.384,36.217,25.240,25.300,0.000 ,4.001 ,66.275,66.068,68.601,196.219,196.785,196.429,196.686,87.457,94.611,91.440,106.237,114.048,220.924,435.566,490.826,750.868,789.584,789.236,778.500,757.880,740.446,698.184,643.483,588.454,519.920,454.857,444.476,443.605,446.363,449.453,436.211,388.796,348.283,347.377,506.209,494.903,494.849,495.358,494.723,438.590,324.833,325.037,327.266,326.860,325.929,237.844,240.671,235.829,235.864,368.774,349.036,343.425,NaN,445.424,445.294,NaN,253.338
143.006,36.294,21.817,22.022,4.001 ,0.000 ,64.265,64.056,66.647,193.304,193.871,193.498,193.754,84.312,90.676,87.517,103.241,110.977,219.462,434.469,489.909,750.032,788.795,788.452,777.743,757.215,740.051,697.999,643.667,589.121,520.859,455.967,445.610,444.743,447.614,450.750,437.321,389.745,349.825,348.898,508.067,496.804,496.749,497.265,496.641,441.005,327.237,327.443,329.646,329.242,328.304,239.997,242.675,238.312,238.349,372.687,352.813,347.141,NaN,447.861,447.643,NaN,256.480
198.347,98.471,69.700,71.205,66.275,64.265,0.000 ,0.213 ,2.585 ,133.543,134.087,133.895,134.157,34.887,70.557,67.326,133.838,139.241,265.669,482.566,539.619,799.961,839.131,838.831,828.405,808.793,794.063,753.744,702.078,650.275,583.209,518.944,508.662,507.806,510.996,514.246,500.303,452.219,413.825,412.868,572.327,561.069,561.014,561.530,560.906,504.624,390.899,391.100,393.367,392.958,392.036,304.117,306.913,301.790,301.820,417.388,402.735,398.671,NaN,511.416,511.423,NaN,316.489
198.176,98.259,69.489,70.994,66.068,64.056,0.213 ,0.000 ,2.793 ,133.712,134.257,134.063,134.326,34.933,70.496,67.262,133.670,139.078,265.481,482.378,539.428,799.771,838.940,838.640,828.213,808.599,793.864,753.541,701.870,650.063,582.997,518.732,508.450,507.593,510.784,514.033,500.091,452.006,413.613,412.657,572.117,560.860,560.805,561.321,560.697,504.423,390.697,390.899,393.165,392.756,391.834,303.911,306.706,301.589,301.619,417.262,402.590,398.520,NaN,511.215,511.220,NaN,316.305
200.062,100.976,72.275,73.778,68.601,66.647,2.585 ,2.793 ,0.000 ,131.877,132.419,132.245,132.508,34.989,71.841,68.653,136.180,141.528,268.158,485.055,542.129,802.466,841.642,841.343,830.920,811.321,796.621,756.318,704.663,652.844,585.755,521.468,511.183,510.326,513.501,516.743,502.827,454.759,416.277,415.324,574.714,563.445,563.390,563.905,563.277,506.845,393.129,393.330,395.606,395.196,394.276,306.429,309.263,304.003,304.032,418.448,404.059,400.080,NaN,513.627,513.666,NaN,318.413
331.883,221.568,189.747,191.294,196.219,193.304,133.543,133.712,131.877,0.000 ,0.579 ,1.103 ,1.233 ,109.476,127.232,127.892,212.477,212.860,343.821,552.146,611.345,867.313,907.076,906.895,897.352,880.455,872.673,837.846,794.952,753.177,691.579,630.790,620.978,620.182,625.007,628.874,612.363,562.598,532.779,531.583,694.080,683.404,683.335,683.940,683.459,632.629,518.986,519.203,521.237,520.850,519.872,430.364,431.837,430.666,430.714,546.753,534.789,531.320,NaN,639.632,638.801,NaN,449.247
